Invoice date,Total Paid Amount
1/9/2017,241423
2/9/2017,172370
4/9/2017,229305
5/9/2017,105092
6/9/2017,140436
8/9/2017,135770
12/9/2017,144376
14/9/2017,102137
16/9/2017,185276
18/9/2017,114975
20/9/2017,122247
23/9/2017,123620
25/9/2017,117412
27/9/2017,176833
29/9/2017,127690
30/9/2017,202564
14/10/2017,115322
19/10/2017,105682
19/12/2017,124337
25/1/2018,132923
27/1/2018,361345
31/1/2018,113782
1/2/2018,156350
6/2/2018,133861
9/2/2018,106424
20/2/2018,111844
24/2/2018,129260
5/3/2018,102577
7/4/2018,127845
9/4/2018,177740
24/4/2018,111850
8/5/2018,101998
9/5/2018,129022
16/5/2018,108350
21/5/2018,103570
29/5/2018,144594
30/5/2018,119735
1/6/2018,121680
2/6/2018,126825
9/6/2018,140520
23/6/2018,109155
27/6/2018,109165
28/6/2018,135999
3/7/2018,100756
16/8/2018,101700
17/8/2018,136159
25/8/2018,111585
29/8/2018,119238
31/8/2018,114421
5/9/2018,175482
13/9/2018,137830
15/9/2018,101109
27/9/2018,166276
28/9/2018,147386
6/10/2018,141276
8/10/2018,228331
10/10/2018,114342
12/10/2018,113231
24/10/2018,112241
1/11/2018,132790
6/11/2018,114893
20/11/2018,114231
24/11/2018,144775
3/12/2018,135675
4/12/2018,101951
15/12/2018,109488
19/12/2018,153066
21/12/2018,213833
27/12/2018,178242
28/12/2018,245580
8/1/2019,137780
11/1/2019,186460
12/1/2019,126960
15/1/2019,120296
16/1/2019,108730
18/1/2019,162736
22/1/2019,121750
25/1/2019,104323
19/2/2019,165974
21/2/2019,111894
22/2/2019,118235
27/2/2019,138320
1/3/2019,116124
2/3/2019,147885
9/3/2019,137760
20/3/2019,143245
22/3/2019,117071
28/3/2019,158440
29/3/2019,142880
9/4/2019,101755
10/4/2019,129773
26/4/2019,168262
27/4/2019,124816
6/5/2019,136196
9/5/2019,124643
21/5/2019,129829
30/5/2019,111687
4/6/2019,134581
24/6/2019,105290
25/6/2019,217354
9/7/2019,122825
18/7/2019,125800
20/7/2019,211530
26/7/2019,124818
27/7/2019,124015
2/8/2019,175911
20/8/2019,143870
22/8/2019,138373
29/8/2019,123455
2/9/2019,117580
6/9/2019,126630
12/9/2019,113410
13/9/2019,182170
18/9/2019,120311
19/9/2019,115035
21/9/2019,133622
23/9/2019,108425
24/9/2019,215213
